iter	Passed	Remaining
462	784	910
463	786	908
464	787	906
465	789	904
466	791	902
467	792	900
468	794	899
469	795	897
470	797	895
471	798	893
472	800	891
473	801	889
474	803	887
475	804	885
476	806	883
477	807	881
478	809	880
479	810	878
480	812	876
481	813	874
482	815	872
483	816	870
484	818	868
485	819	867
486	821	865
487	822	863
488	824	861
489	826	859
490	827	858
491	829	856
492	830	854
493	832	852
494	833	850
495	835	848
496	836	846
497	838	845
498	840	843
499	841	841
500	843	839
501	844	837
502	846	835
503	847	834
504	849	832
505	850	830
506	852	828
507	853	826
508	855	824
509	856	822
510	858	821
511	859	819
512	861	817
513	862	815
514	864	814
515	865	812
516	867	810
517	868	808
518	870	806
519	871	804
520	873	802
521	874	800
522	876	799
523	877	797
524	879	795
525	880	793
526	882	791
527	883	789
528	885	788
529	886	786
530	888	784
531	889	782
532	891	780
533	892	778
534	894	777
535	895	775
536	897	774
537	899	772
538	900	770
539	902	768
540	903	766
541	905	765
542	906	763
543	908	761
544	909	759
545	911	757
546	912	755
547	914	754
548	915	752
549	917	750
550	918	748
551	919	746
552	921	744
553	923	743
554	924	741
555	925	739
556	927	737
557	928	735
558	930	733
559	931	732
560	933	730
561	934	728
562	936	726
563	938	725
564	939	723
565	941	721
566	942	720
567	944	718
568	946	716
569	947	714
570	949	713
571	950	711
572	952	709
573	953	707
574	955	706
575	956	704
576	958	702
577	959	700
578	961	699
579	963	697
580	964	695
581	966	694
582	968	692
583	969	690
584	971	689
585	973	687
586	974	685
587	976	684
588	978	682
589	980	681
590	981	679
591	983	677
592	984	676
593	986	674
594	988	672
595	989	670
596	991	668
597	992	667
598	994	665
599	995	663
600	997	662
601	998	660
602	1000	658
603	1001	656
604	1003	654
605	1004	653
606	1006	651
607	1007	649
608	1009	647
609	1010	646
610	1011	644
611	1013	642
612	1014	640
613	1016	638
614	1017	637
615	1019	635
616	1020	633
617	1022	631
618	1023	630
619	1025	628
620	1026	626
621	1028	624
622	1029	623
623	1031	621
624	1032	619
625	1034	617
626	1035	616
627	1037	614
628	1038	612
629	1040	610
630	1041	609
631	1043	607
632	1044	605
633	1046	603
634	1047	602
635	1049	600
636	1050	598
637	1052	597
638	1053	595
639	1055	593
640	1057	591
641	1058	590
642	1060	588
643	1061	586
644	1063	585
645	1064	583
646	1065	581
647	1067	579
648	1069	578
649	1070	576
650	1072	574
651	1073	573
652	1075	571
653	1076	569
654	1078	567
655	1079	566
656	1081	564
657	1082	562
658	1083	560
659	1085	559
660	1087	557
661	1088	555
662	1089	554
663	1091	552
664	1093	550
665	1094	548
666	1096	547
667	1097	545
668	1098	543
669	1100	541
670	1101	540
671	1103	538
672	1104	536
673	1105	534
674	1107	533
675	1108	531
676	1110	529
677	1111	527
678	1113	526
679	1114	524
680	1116	522
681	1117	521
682	1119	519
683	1120	517
684	1122	516
685	1123	514
686	1125	512
687	1126	511
688	1128	509
689	1129	507
690	1131	505
691	1132	504
692	1134	502
693	1135	500
694	1137	499
695	1138	497
696	1140	495
697	1142	494
698	1143	492
699	1145	490
700	1146	489
701	1148	487
702	1149	485
703	1151	484
704	1152	482
705	1154	480
706	1156	479
707	1157	477
708	1159	475
709	1160	474
710	1162	472
711	1163	470
712	1165	469
713	1166	467
714	1168	465
715	1169	464
716	1171	462
717	1173	460
718	1175	459
719	1176	457
720	1178	456
721	1180	454
722	1182	452
723	1183	451
724	1185	449
725	1187	448
726	1188	446
727	1189	444
728	1191	442
729	1192	441
730	1194	439
731	1196	438
732	1198	436
733	1200	434
734	1201	433
735	1203	431
736	1205	430
737	1207	428
738	1208	426
739	1209	425
740	1211	423
741	1213	421
742	1215	420
743	1216	418
744	1218	417
745	1220	415
746	1221	413
747	1223	412
748	1224	410
749	1226	408
750	1228	407
751	1229	405
752	1231	403
753	1232	402
754	1234	400
755	1236	398
756	1237	397
757	1239	395
758	1240	393
759	1242	392
760	1244	390
761	1245	389
762	1247	387
763	1249	385
764	1250	384
765	1252	382
766	1253	380
767	1255	379
768	1256	377
769	1258	375
770	1260	374
771	1262	372
772	1263	371
773	1265	369
774	1267	367
775	1268	366
776	1270	364
777	1271	362
778	1273	361
779	1274	359
780	1276	357
781	1278	356
782	1279	354
783	1281	353
784	1283	351
785	1284	349
786	1286	348
787	1287	346
788	1289	344
789	1291	343
790	1292	341
791	1294	339
792	1296	338
793	1297	336
794	1299	335
795	1300	333
796	1302	331
797	1303	330
798	1305	328
799	1306	326
800	1308	325
801	1310	323
802	1312	321
803	1313	320
804	1315	318
805	1316	316
806	1318	315
807	1319	313
808	1321	312
809	1323	310
810	1325	308
811	1327	307
812	1329	305
813	1331	304
814	1333	302
815	1335	301
816	1337	299
817	1339	297
818	1341	296
819	1343	294
820	1345	293
821	1347	291
822	1349	290
823	1351	288
824	1352	286
825	1354	285
826	1356	283
827	1358	282
828	1360	280
829	1362	279
830	1364	277
831	1366	275
832	1367	274
833	1369	272
834	1370	270
835	1372	269
836	1374	267
837	1376	266
838	1378	264
839	1379	262
840	1381	261
841	1383	259
842	1385	257
843	1387	256
844	1389	254
845	1392	253
846	1394	251
847	1395	250
848	1397	248
849	1399	246
850	1401	245
851	1402	243
852	1404	241
853	1406	240
854	1407	238
855	1409	237
856	1411	235
857	1412	233
858	1414	232
859	1415	230
860	1417	228
861	1418	227
862	1420	225
863	1422	223
864	1424	222
865	1425	220
866	1427	218
867	1428	217
868	1430	215
869	1432	213
870	1433	212
871	1434	210
872	1436	208
873	1438	207
874	1440	205
875	1441	204
876	1443	202
877	1445	200
878	1446	199
879	1448	197
880	1449	195
881	1451	194
882	1452	192
883	1454	190
884	1456	189
885	1457	187
886	1459	185
887	1460	184
888	1462	182
889	1463	180
890	1465	179
891	1466	177
892	1468	175
893	1470	174
894	1472	172
895	1473	171
896	1475	169
897	1477	167
898	1478	166
899	1480	164
900	1481	162
901	1483	161
902	1484	159
903	1486	157
904	1488	156
905	1489	154
906	1491	152
907	1493	151
908	1494	149
909	1496	147
910	1497	146
911	1499	144
912	1500	142
913	1502	141
914	1503	139
915	1505	138
916	1507	136
917	1508	134
918	1510	133
919	1511	131
920	1513	129
921	1514	128
922	1516	126
923	1517	124
924	1519	123
925	1521	121
926	1523	119
927	1524	118
928	1526	116
929	1527	114
930	1529	113
931	1530	111
932	1532	110
933	1534	108
934	1535	106
935	1537	105
936	1539	103
937	1540	101
938	1542	100
939	1544	98
940	1545	96
941	1546	95
942	1548	93
943	1549	91
944	1551	90
945	1553	88
946	1554	87
947	1556	85
948	1557	83
949	1559	82
950	1560	80
951	1562	78
952	1563	77
953	1565	75
954	1567	73
955	1568	72
956	1570	70
957	1572	68
958	1573	67
959	1575	65
960	1576	63
961	1578	62
962	1579	60
963	1581	59
964	1583	57
965	1584	55
966	1586	54
967	1587	52
968	1589	50
969	1590	49
970	1592	47
971	1593	45
972	1595	44
973	1596	42
974	1598	40
975	1600	39
976	1601	37
977	1603	36
978	1604	34
979	1606	32
980	1607	31
981	1609	29
982	1610	27
983	1612	26
984	1613	24
985	1615	22
986	1616	21
987	1618	19
988	1620	18
989	1621	16
990	1622	14
991	1624	13
992	1625	11
993	1627	9
994	1628	8
995	1630	6
996	1632	4
997	1633	3
998	1635	1
999	1636	0
