iter	RMSE
225	5.509813716
226	5.498048982
227	5.490152499
228	5.483611311
229	5.468044746
230	5.4542836
231	5.440535916
232	5.430345447
233	5.419486179
234	5.408155377
235	5.39760671
236	5.384933386
237	5.373831164
238	5.364599496
239	5.355942437
240	5.346761126
241	5.335401842
242	5.3303305
243	5.321478208
244	5.31162734
245	5.298304008
246	5.284591294
247	5.275770341
248	5.266723101
249	5.260690611
250	5.249120405
251	5.240073866
252	5.223393499
253	5.215902209
254	5.210797294
255	5.200691302
256	5.191030618
257	5.178632684
258	5.167951232
259	5.160007835
260	5.150621732
261	5.139074153
262	5.129740017
263	5.118720867
264	5.108204571
265	5.100432073
266	5.089383989
267	5.082331432
268	5.077257839
269	5.069131787
270	5.05775348
271	5.048381612
272	5.041739403
273	5.034960838
274	5.027080363
275	5.02020486
276	5.009545945
277	5.001003627
278	4.995163676
279	4.989167716
280	4.978468253
281	4.971907917
282	4.966315211
283	4.957814036
284	4.952398013
285	4.945131895
286	4.9404379
287	4.93091183
288	4.923452806
289	4.913901495
290	4.909495606
291	4.900499836
292	4.892362867
293	4.886028213
294	4.880649938
295	4.871636481
296	4.864864468
297	4.856330023
298	4.848372015
299	4.841084188
300	4.833576911
301	4.827397903
302	4.822223034
303	4.813333575
304	4.808380596
305	4.800868617
306	4.795486782
307	4.790329551
308	4.783373153
309	4.773818465
310	4.765497134
311	4.756589223
312	4.747580786
313	4.741797652
314	4.736573085
315	4.727818976
316	4.720909499
317	4.717786504
318	4.70901566
319	4.704515386
320	4.697394775
321	4.691088607
322	4.684351014
323	4.680345209
324	4.670569305
325	4.664624462
326	4.658313437
327	4.652243639
328	4.647383335
329	4.641339185
330	4.634641754
331	4.627070779
332	4.620506229
333	4.614384755
334	4.607202083
335	4.60039297
336	4.59085601
337	4.58403461
338	4.577205025
339	4.571285192
340	4.565613755
341	4.560792269
342	4.553957401
343	4.547139378
344	4.543106146
345	4.538064566
346	4.532559713
347	4.527870386
348	4.523559931
349	4.51764196
350	4.510723833
351	4.506137916
352	4.499816256
353	4.495469755
354	4.492507443
355	4.486709681
356	4.480120124
357	4.474334239
358	4.470281373
359	4.467290757
360	4.462309289
361	4.457194921
362	4.45386364
363	4.448135835
364	4.443420719
365	4.436810007
366	4.432301419
367	4.428529923
368	4.425280735
369	4.424092397
370	4.415587438
371	4.409476865
372	4.40529476
373	4.400015693
374	4.395173564
375	4.390794456
376	4.386315538
377	4.378941867
378	4.375148535
379	4.369668523
380	4.363425238
381	4.361027413
382	4.356860844
383	4.353500352
384	4.351116289
385	4.346136261
386	4.342809753
387	4.339869606
388	4.337574564
389	4.333338423
390	4.327658039
391	4.320723528
392	4.314708738
393	4.31095166
394	4.304555969
395	4.29926928
396	4.294006978
397	4.285752131
398	4.284157488
399	4.277726452
400	4.27400732
401	4.270529222
402	4.268626799
403	4.265172425
404	4.260562018
405	4.257896972
406	4.251735637
407	4.247472036
408	4.243396141
409	4.24170065
410	4.236244844
411	4.232464264
412	4.227932118
413	4.225443524
414	4.219150244
415	4.212206076
416	4.208985538
417	4.205988286
418	4.200950891
419	4.19508511
420	4.190803346
421	4.185408351
422	4.18056191
423	4.178311764
424	4.174142736
425	4.170649502
426	4.167737283
427	4.16003366
428	4.156314382
429	4.150207582
430	4.1486744
431	4.145863296
432	4.140778785
433	4.136014896
434	4.131367499
435	4.128618839
436	4.124958701
437	4.121307162
438	4.119829326
439	4.115927765
440	4.110268252
441	4.107816326
442	4.105718676
443	4.104337875
444	4.099980112
445	4.097493289
446	4.094749634
447	4.091435441
448	4.087647889
449	4.083667037
450	4.081626748
451	4.077852043
452	4.073086833
453	4.068238792
454	4.063841106
455	4.059829922
456	4.05769463
457	4.051235319
458	4.04756427
459	4.044996344
460	4.042561191
461	4.039215223
462	4.035745473
463	4.033772306
464	4.032063029
465	4.027379074
466	4.024211478
467	4.023195684
468	4.020456885
469	4.018430231
470	4.016829972
471	4.013597797
472	4.007033762
473	4.006308842
474	4.00164115
475	3.998070831
476	3.993719094
477	3.988458193
478	3.984048562
479	3.979203109
480	3.97756689
481	3.974918892
482	3.972083209
483	3.967021046
484	3.963256087
485	3.962357606
486	3.959879597
487	3.958608637
488	3.954578643
489	3.951980725
490	3.948102803
491	3.944079682
492	3.939810107
493	3.937362448
494	3.933467508
495	3.930257258
496	3.927628005
497	3.926991414
498	3.923579012
499	3.9199315
500	3.915552061
501	3.91028311
502	3.906667504
503	3.904445233
504	3.899843464
505	3.896002689
506	3.894156239
507	3.891412992
508	3.889705336
509	3.888008732
510	3.882118386
511	3.87888593
512	3.87550644
513	3.872149101
514	3.868618615
515	3.864368887
516	3.862529182
517	3.859958211
518	3.856086354
519	3.85449279
520	3.850820144
521	3.84693963
522	3.843285921
523	3.84054508
524	3.837321496
525	3.830703877
526	3.828513055
527	3.825262437
528	3.821230205
529	3.818050755
530	3.815062579
531	3.811362898
532	3.808106991
533	3.805240621
534	3.803009085
535	3.799630925
536	3.795653727
537	3.792264124
538	3.790751225
539	3.788657186
540	3.787174541
541	3.784703822
542	3.781148529
543	3.780114254
544	3.777230811
545	3.775684321
546	3.773424988
547	3.769825267
548	3.768256298
549	3.765189639
550	3.762309845
551	3.759111588
552	3.75668164
553	3.753481673
554	3.750339705
555	3.747686732
556	3.744411893
557	3.74183028
558	3.737608243
559	3.734732187
560	3.732250995
561	3.728433504
562	3.725858171
563	3.723253797
564	3.719662856
565	3.716938848
566	3.715697327
567	3.713231392
568	3.710044174
569	3.708647013
570	3.705037006
571	3.702864488
572	3.69987131
573	3.698552062
574	3.695554323
575	3.69247443
576	3.689600046
577	3.68769217
578	3.684955765
579	3.682255795
580	3.680709807
581	3.677391145
582	3.675113792
583	3.671705776
584	3.669146351
585	3.666593701
586	3.665400056
587	3.664840717
588	3.662125017
589	3.65959822
590	3.656177857
591	3.653772277
592	3.650573237
593	3.6495659
594	3.646526684
595	3.643926639
596	3.642194581
597	3.638800525
598	3.636242398
599	3.633095641
600	3.62802926
601	3.6260151
602	3.623420574
603	3.620416991
604	3.616735765
605	3.616246209
606	3.613668384
607	3.611096365
608	3.607751363
609	3.606330469
610	3.604005841
611	3.602968352
612	3.601922913
613	3.599266476
614	3.596996273
615	3.594769441
616	3.592600761
617	3.589756806
618	3.587724345
619	3.587391146
620	3.585843317
621	3.584270516
622	3.581754112
623	3.580332568
624	3.578030532
625	3.576658716
626	3.573699171
627	3.571909592
628	3.568677075
629	3.565297219
630	3.563464777
631	3.560733836
632	3.558265301
633	3.554924877
634	3.552113969
635	3.549986077
636	3.54844138
637	3.546838707
638	3.544072048
639	3.541884348
640	3.540088509
641	3.538063643
642	3.535749141
643	3.532871632
644	3.531380113
645	3.52990317
646	3.527493659
647	3.524802945
648	3.522381287
649	3.520032669
650	3.518105258
651	3.515978841
652	3.513995755
653	3.51202783
654	3.509743637
655	3.508064487
656	3.505860562
657	3.503999636
658	3.501530372
659	3.499705829
660	3.49866578
661	3.497396058
662	3.495497103
663	3.493362265
664	3.491320735
665	3.489150836
666	3.485977295
667	3.483682559
668	3.481542509
669	3.479718573
670	3.478527508
671	3.476605419
672	3.475746859
673	3.474640461
674	3.473059388
675	3.471611189
676	3.470872803
677	3.46881497
678	3.467116948
679	3.464534458
680	3.46289762
681	3.461055032
682	3.45957077
683	3.457869806
684	3.455381567
685	3.452844578
686	3.450862857
687	3.449260149
688	3.446869071
689	3.445462902
690	3.44325158
691	3.441014227
692	3.439260215
693	3.437600521
694	3.435780461
695	3.434311819
696	3.432459265
697	3.43130616
698	3.429763304
699	3.428131535
700	3.42634338
701	3.425028153
702	3.423714731
703	3.422219959
704	3.421824947
705	3.419481777
706	3.417714102
707	3.416717344
708	3.413998095
709	3.412751975
710	3.411171449
711	3.409157729
712	3.406642727
713	3.404244863
714	3.403050411
715	3.400231817
716	3.397831808
717	3.395691515
718	3.393269464
719	3.39199234
720	3.390636272
721	3.388637651
722	3.386903024
723	3.385347492
724	3.383446444
725	3.381759185
726	3.381169152
727	3.379549299
728	3.377819561
729	3.375481546
730	3.373783744
731	3.37258554
732	3.371556569
733	3.369487735
734	3.368095912
735	3.366985602
736	3.365944193
737	3.363905962
738	3.362332337
739	3.36088903
740	3.359758044
741	3.359138195
742	3.357976331
743	3.356565629
744	3.355298775
745	3.353217861
746	3.351230788
747	3.349878701
748	3.349302595
749	3.347880591
750	3.346879435
751	3.345406659
752	3.34385635
753	3.342862238
754	3.341873271
755	3.340225448
756	3.338584261
757	3.33749924
758	3.335325861
759	3.333688889
760	3.332098675
761	3.330575512
762	3.329359952
763	3.327261693
764	3.326035966
765	3.324370994
766	3.323039437
767	3.32218745
768	3.321432107
769	3.31986579
770	3.317472086
771	3.315942123
772	3.314541609
773	3.313208792
774	3.311121109
775	3.310301218
776	3.30814235
777	3.306504117
778	3.305401065
779	3.304089708
780	3.302991357
781	3.301000451
782	3.299958823
783	3.298635545
784	3.296559794
785	3.294844648
786	3.293616748
787	3.292071565
788	3.290705525
789	3.289097139
790	3.287572731
791	3.286648599
792	3.285542634
793	3.283724482
794	3.282697692
795	3.282105419
796	3.280878228
797	3.279897094
798	3.278774145
799	3.277351235
800	3.275924671
801	3.274221316
802	3.273323158
803	3.272481357
804	3.270823022
805	3.269253718
806	3.268258135
807	3.266523098
808	3.264204443
809	3.263027323
810	3.261723956
811	3.259750309
812	3.258353059
813	3.257463382
814	3.256165074
815	3.255462852
816	3.254227198
817	3.252851139
818	3.251024267
819	3.250172198
820	3.248580329
821	3.24726171
822	3.246305177
823	3.2454686
824	3.243409443
825	3.241844673
826	3.240378374
827	3.238628753
828	3.237469927
829	3.236303172
830	3.235190858
831	3.233732181
832	3.232626099
833	3.231896432
834	3.230631529
835	3.229091101
836	3.228662895
837	3.227165334
838	3.225957259
839	3.224580103
840	3.223534014
841	3.221764336
842	3.221026441
843	3.219485843
844	3.218713634
845	3.218062863
846	3.217014611
847	3.216144025
848	3.215564065
849	3.214291718
850	3.213261054
851	3.212007644
852	3.210944135
853	3.209360861
854	3.207863947
855	3.20641079
856	3.205172652
857	3.204354065
858	3.203089131
859	3.20225741
860	3.201326234
861	3.199215931
862	3.197619773
863	3.196678457
864	3.196134078
865	3.19414897
866	3.193467802
867	3.191825513
868	3.190578185
869	3.189530081
870	3.188807247
871	3.187322304
872	3.186486504
873	3.185185767
874	3.184125995
875	3.182881839
876	3.181168587
877	3.179468921
878	3.178670569
879	3.177150404
880	3.176551346
881	3.175566453
882	3.174317203
883	3.17323081
884	3.171899349
885	3.170797563
886	3.170218526
887	3.169490092
888	3.168698512
889	3.167729534
890	3.166482042
891	3.165218996
892	3.164483221
893	3.163417879
894	3.162852436
895	3.162222358
896	3.16107996
897	3.159912768
898	3.158923202
899	3.157624771
900	3.156542808
901	3.155470021
902	3.153955595
903	3.152883564
904	3.151526327
905	3.149886809
906	3.148705653
907	3.147777585
908	3.14688313
909	3.146064049
910	3.145016573
911	3.143800969
912	3.14310766
913	3.141829938
914	3.141030021
915	3.140518233
916	3.139309313
917	3.138417514
918	3.13731449
919	3.136689824
920	3.135892917
921	3.13491026
922	3.134456464
923	3.133103664
924	3.131875239
925	3.130456709
926	3.130118574
927	3.129008881
928	3.12789922
929	3.127158333
930	3.125985811
931	3.125229042
932	3.12447321
933	3.123350706
934	3.122715651
935	3.12183893
936	3.120870195
937	3.119710607
938	3.118925178
939	3.1176228
940	3.11690177
941	3.116092171
942	3.115383123
943	3.114458915
944	3.113452533
945	3.112870835
946	3.112159997
947	3.111013986
948	3.11002384
949	3.109541994
950	3.108993731
951	3.108093124
952	3.107161746
953	3.105818852
954	3.105365912
955	3.104146362
956	3.103225519
957	3.102180404
958	3.101027247
959	3.100263696
960	3.099649129
961	3.098547881
962	3.097613415
963	3.097031127
964	3.096179561
965	3.095607956
966	3.094985188
967	3.094227349
968	3.093576751
969	3.092591415
970	3.091532326
971	3.090387376
972	3.088844762
973	3.088469621
974	3.087258062
975	3.086196813
976	3.084983246
977	3.083946141
978	3.082707918
979	3.081734766
980	3.080785142
981	3.079698482
982	3.07892428
983	3.077867115
984	3.076335553
985	3.075572416
986	3.074807169
987	3.073668013
988	3.072909882
989	3.072277371
990	3.071193136
991	3.070385538
992	3.069627897
993	3.06889009
994	3.068071063
995	3.067455542
996	3.066585515
997	3.0658242
998	3.064566145
999	3.063594944
